Timestamp,CPU (%),Memory (%),Disk (%)
2025-08-09 20:13:10.163577,19.1,67.2,97.7
2025-08-09 20:13:16.165741,7.4,67.0,97.7
2025-08-09 20:13:22.168282,7.4,65.8,97.7
2025-08-09 20:13:28.171424,48.7,66.3,97.7
2025-08-09 20:13:34.173419,30.1,66.7,97.7
